dataset,k,comparison,p_value,v1_faster
chess,10,V1_vs_V2_DFS_Full,NaN,true
chess,10,V1_vs_V3_BFS_Search,NaN,true
chess,10,V1_vs_V4_DFS_Search,NaN,true
chess,10,V1_vs_TopKPFIM,NaN,true
chess,10,V1_vs_ITUFP,NaN,true
chess,20,V1_vs_V2_DFS_Full,NaN,true
chess,20,V1_vs_V3_BFS_Search,NaN,true
chess,20,V1_vs_V4_DFS_Search,NaN,true
chess,20,V1_vs_TopKPFIM,NaN,true
chess,20,V1_vs_ITUFP,NaN,true
chess,30,V1_vs_V2_DFS_Full,NaN,true
chess,30,V1_vs_V3_BFS_Search,NaN,true
chess,30,V1_vs_V4_DFS_Search,NaN,true
chess,30,V1_vs_TopKPFIM,NaN,true
chess,30,V1_vs_ITUFP,NaN,true
chess,40,V1_vs_V2_DFS_Full,NaN,true
chess,40,V1_vs_V3_BFS_Search,NaN,true
chess,40,V1_vs_V4_DFS_Search,NaN,true
chess,40,V1_vs_TopKPFIM,NaN,true
chess,40,V1_vs_ITUFP,NaN,true
chess,50,V1_vs_V2_DFS_Full,NaN,true
chess,50,V1_vs_V3_BFS_Search,NaN,true
chess,50,V1_vs_V4_DFS_Search,NaN,true
chess,50,V1_vs_TopKPFIM,NaN,true
chess,50,V1_vs_ITUFP,NaN,true
