dataset,k,algorithm,rep,runtime_ms,peak_heap_bytes,candidates_explored,closure_checks,support_calculations,max_queue_size,topk_count
mushrooms,30,V1_BFS_Full,0,13411,48145856,26,55,0,241,30
mushrooms,30,V1_BFS_Full,1,13540,46964992,26,55,0,241,30
mushrooms,30,V1_BFS_Full,2,13402,48808048,26,55,0,241,30
mushrooms,30,V2_DFS_Full,0,14720,49509640,220,81,0,186,30
mushrooms,30,V2_DFS_Full,1,14716,51294120,220,81,0,186,30
mushrooms,30,V2_DFS_Full,2,14640,47575448,220,81,0,186,30
mushrooms,30,V3_BFS_Search,0,16231,62912048,26,55,241,0,30
mushrooms,30,V3_BFS_Search,1,16319,58595360,26,55,241,0,30
mushrooms,30,V3_BFS_Search,2,16288,62856904,26,55,241,0,30
mushrooms,30,V4_DFS_Search,0,17766,57514936,220,81,182,186,30
mushrooms,30,V4_DFS_Search,1,17118,57810336,220,81,182,186,30
mushrooms,30,V4_DFS_Search,2,17002,61670792,220,81,182,186,30
mushrooms,30,TopKPFIM,0,66370,55986728,1108,90,42012,90,30
mushrooms,30,TopKPFIM,1,66581,54155024,1108,90,42012,90,30
mushrooms,30,TopKPFIM,2,66332,24302384,1108,90,42012,90,30
mushrooms,30,ITUFP,0,26412,16916936,10,90,965,4,30
mushrooms,30,ITUFP,1,26533,15283672,10,90,965,4,30
mushrooms,30,ITUFP,2,26443,14829288,10,90,965,4,30
mushrooms,40,V1_BFS_Full,0,17225,71146120,34,73,0,447,40
mushrooms,40,V1_BFS_Full,1,17271,67424064,34,73,0,447,40
mushrooms,40,V1_BFS_Full,2,17408,69847656,34,73,0,447,40
mushrooms,40,V2_DFS_Full,0,19518,84157432,361,117,0,307,40
mushrooms,40,V2_DFS_Full,1,19583,77081192,361,117,0,307,40
mushrooms,40,V2_DFS_Full,2,19641,77598832,361,117,0,307,40
mushrooms,40,V3_BFS_Search,0,18827,89330600,34,73,502,0,40
mushrooms,40,V3_BFS_Search,1,18786,91144240,34,73,502,0,40
mushrooms,40,V3_BFS_Search,2,18925,96656592,34,73,502,0,40
mushrooms,40,V4_DFS_Search,0,21427,81701448,361,117,503,307,40
mushrooms,40,V4_DFS_Search,1,21496,87092576,361,117,503,307,40
mushrooms,40,V4_DFS_Search,2,21392,91675888,361,117,503,307,40
mushrooms,40,TopKPFIM,0,79801,65989232,1744,120,60667,120,40
mushrooms,40,TopKPFIM,1,79656,70456712,1744,120,60667,120,40
mushrooms,40,TopKPFIM,2,79424,57576616,1744,120,60667,120,40
mushrooms,40,ITUFP,0,37872,45449224,12,120,1490,4,40
mushrooms,40,ITUFP,1,37949,38434496,12,120,1490,4,40
mushrooms,40,ITUFP,2,37891,37526504,12,120,1490,4,40
mushrooms,50,V1_BFS_Full,0,21820,91933680,43,92,0,812,50
mushrooms,50,V1_BFS_Full,1,22124,92180904,43,92,0,812,50
mushrooms,50,V1_BFS_Full,2,21802,92976552,43,92,0,812,50
mushrooms,50,V2_DFS_Full,0,22653,112088792,628,164,0,548,50
mushrooms,50,V2_DFS_Full,1,22726,120729392,628,164,0,548,50
mushrooms,50,V2_DFS_Full,2,22810,122669744,628,164,0,548,50
mushrooms,50,V3_BFS_Search,0,23084,120839688,43,92,830,0,50
mushrooms,50,V3_BFS_Search,1,23171,119384728,43,92,830,0,50
mushrooms,50,V3_BFS_Search,2,23303,124890544,43,92,830,0,50
mushrooms,50,V4_DFS_Search,0,24705,120713560,628,164,984,548,50
mushrooms,50,V4_DFS_Search,1,24572,115978496,628,164,984,548,50
mushrooms,50,V4_DFS_Search,2,24389,119888656,628,164,984,548,50
mushrooms,50,TopKPFIM,0,92797,51579424,2305,150,77242,150,50
mushrooms,50,TopKPFIM,1,93259,65017528,2305,150,77242,150,50
mushrooms,50,TopKPFIM,2,93837,25710376,2305,150,77242,150,50
mushrooms,50,ITUFP,0,47805,25568920,15,150,1927,4,50
mushrooms,50,ITUFP,1,47957,16038928,15,150,1927,4,50
mushrooms,50,ITUFP,2,47978,53993864,15,150,1927,4,50
mushrooms,60,V1_BFS_Full,0,25093,116469936,52,111,0,1316,60
mushrooms,60,V1_BFS_Full,1,25018,114844384,52,111,0,1316,60
mushrooms,60,V1_BFS_Full,2,24813,116804552,52,111,0,1316,60
mushrooms,60,V2_DFS_Full,0,26095,149934000,1006,222,0,883,60
mushrooms,60,V2_DFS_Full,1,26131,151737040,1006,222,0,883,60
mushrooms,60,V2_DFS_Full,2,26198,144710392,1006,222,0,883,60
mushrooms,60,V3_BFS_Search,0,26551,147792296,52,111,1218,0,60
mushrooms,60,V3_BFS_Search,1,26558,148407968,52,111,1218,0,60
mushrooms,60,V3_BFS_Search,2,26423,134923416,52,111,1218,0,60
mushrooms,60,V4_DFS_Search,0,28324,158563952,1006,222,1715,883,60
mushrooms,60,V4_DFS_Search,1,28276,160761496,1006,222,1715,883,60
mushrooms,60,V4_DFS_Search,2,28480,157528536,1006,222,1715,883,60
mushrooms,60,TopKPFIM,0,105779,43104192,2820,180,90419,180,60
mushrooms,60,TopKPFIM,1,106226,44039592,2820,180,90419,180,60
mushrooms,60,TopKPFIM,2,105834,88561448,2820,180,90419,180,60
mushrooms,60,ITUFP,0,57673,55070960,16,180,2271,4,60
mushrooms,60,ITUFP,1,57513,39302920,16,180,2271,4,60
mushrooms,60,ITUFP,2,57438,38193152,16,180,2271,4,60
mushrooms,70,V1_BFS_Full,0,27579,143592752,61,132,0,1869,70
mushrooms,70,V1_BFS_Full,1,27680,132256680,61,132,0,1869,70
mushrooms,70,V1_BFS_Full,2,27520,133415112,61,132,0,1869,70
mushrooms,70,V2_DFS_Full,0,30426,183987696,1352,297,0,1186,70
mushrooms,70,V2_DFS_Full,1,30397,191018888,1352,297,0,1186,70
mushrooms,70,V2_DFS_Full,2,30443,184850568,1352,297,0,1186,70
mushrooms,70,V3_BFS_Search,0,29062,171251576,61,132,1854,0,70
mushrooms,70,V3_BFS_Search,1,29233,175440224,61,132,1854,0,70
mushrooms,70,V3_BFS_Search,2,29183,170419392,61,132,1854,0,70
mushrooms,70,V4_DFS_Search,0,33365,214562776,1352,297,2795,1186,70
mushrooms,70,V4_DFS_Search,1,33193,214188936,1352,297,2795,1186,70
mushrooms,70,V4_DFS_Search,2,33383,208832968,1352,297,2795,1186,70
mushrooms,70,TopKPFIM,0,116580,82907584,3328,210,104482,210,70
mushrooms,70,TopKPFIM,1,116771,38689680,3328,210,104482,210,70
mushrooms,70,TopKPFIM,2,116717,49658200,3328,210,104482,210,70
mushrooms,70,ITUFP,0,65641,45648488,17,210,2749,4,70
mushrooms,70,ITUFP,1,65751,48835200,17,210,2749,4,70
mushrooms,70,ITUFP,2,65571,35652768,17,210,2749,4,70
