dataset,k,algorithm,runtime_mean_ms,runtime_std_ms,runtime_median_ms,closure_checks_mean,max_queue_size_mean,peak_heap_mb_mean
retail,500,V1_BFS_Full,27250.33,27.30,27263.00,764.0,566.0,401.63
retail,500,V2_DFS_Full,27318.67,94.00,27350.00,813.0,539.0,385.79
retail,500,V3_BFS_Search,28227.67,66.12,28191.00,764.0,0.0,419.36
retail,500,V4_DFS_Search,28150.67,144.51,28079.00,813.0,539.0,502.68
retail,500,TopKPFIM,161904.67,108.90,161938.00,1500.0,1500.0,107.20
retail,500,ITUFP,43416.00,326.16,43507.00,1500.0,3.0,156.20
retail,600,V1_BFS_Full,27995.33,76.03,27985.00,919.0,664.0,418.20
retail,600,V2_DFS_Full,28275.33,72.00,28276.00,984.0,631.0,415.07
retail,600,V3_BFS_Search,29349.00,86.82,29372.00,919.0,0.0,431.66
retail,600,V4_DFS_Search,29200.67,137.41,29146.00,984.0,631.0,496.53
retail,600,TopKPFIM,171503.33,100.38,171452.00,1800.0,1800.0,81.54
retail,600,ITUFP,46286.33,170.43,46214.00,1800.0,3.0,91.29
retail,700,V1_BFS_Full,29230.00,117.04,29243.00,1084.0,774.0,504.78
retail,700,V2_DFS_Full,29403.67,35.64,29414.00,1160.0,736.0,605.52
retail,700,V3_BFS_Search,30852.00,23.90,30857.00,1084.0,0.0,583.20
retail,700,V4_DFS_Search,30499.00,82.02,30497.00,1160.0,736.0,730.32
retail,700,TopKPFIM,180378.00,364.90,180549.00,2100.0,2100.0,148.35
retail,700,ITUFP,49412.67,353.00,49534.00,2100.0,3.0,160.55
retail,800,V1_BFS_Full,30441.33,6.43,30444.00,1239.0,920.0,665.92
retail,800,V2_DFS_Full,30752.33,40.28,30766.00,1329.0,868.0,800.18
retail,800,V3_BFS_Search,32394.00,115.21,32402.00,1239.0,0.0,634.44
retail,800,V4_DFS_Search,32771.33,675.90,32999.00,1329.0,868.0,766.83
retail,800,TopKPFIM,190986.33,437.30,191057.00,2400.0,2400.0,124.76
retail,800,ITUFP,53311.33,459.84,53291.00,2400.0,3.0,63.13
retail,900,V1_BFS_Full,31784.00,186.69,31736.00,1388.0,1059.0,826.83
retail,900,V2_DFS_Full,32325.33,163.79,32349.00,1486.0,996.0,936.20
retail,900,V3_BFS_Search,34093.00,157.25,34015.00,1388.0,0.0,860.74
retail,900,V4_DFS_Search,33665.67,74.53,33683.00,1486.0,996.0,822.60
retail,900,TopKPFIM,199281.00,450.21,199206.00,2700.0,2700.0,199.19
retail,900,ITUFP,56780.67,506.73,56763.00,2700.0,3.0,191.24
