dataset,param,value,rep,runtime_ms,topk_count
chess_uncertain,alpha,0.5,0,2774,30
chess_uncertain,alpha,0.5,1,2763,30
chess_uncertain,alpha,0.5,2,2749,30
chess_uncertain,alpha,1.0,0,2854,30
chess_uncertain,alpha,1.0,1,2980,30
chess_uncertain,alpha,1.0,2,2917,30
chess_uncertain,alpha,1.5,0,2896,30
chess_uncertain,alpha,1.5,1,2825,30
chess_uncertain,alpha,1.5,2,2815,30
chess_uncertain,alpha,2.0,0,2789,30
chess_uncertain,alpha,2.0,1,2763,30
chess_uncertain,alpha,2.0,2,2802,30
chess_uncertain,rho,0.0,0,2763,30
chess_uncertain,rho,0.0,1,2803,30
chess_uncertain,rho,0.0,2,2764,30
chess_uncertain,rho,0.02,0,2789,30
chess_uncertain,rho,0.02,1,2824,30
chess_uncertain,rho,0.02,2,2778,30
chess_uncertain,rho,0.05,0,2770,30
chess_uncertain,rho,0.05,1,2752,30
chess_uncertain,rho,0.05,2,2762,30
chess_uncertain,rho,0.1,0,2795,30
chess_uncertain,rho,0.1,1,2783,30
chess_uncertain,rho,0.1,2,2776,30
chess_uncertain,p_min,0.05,0,2773,30
chess_uncertain,p_min,0.05,1,2770,30
chess_uncertain,p_min,0.05,2,2782,30
chess_uncertain,p_min,0.1,0,2876,30
chess_uncertain,p_min,0.1,1,2920,30
chess_uncertain,p_min,0.1,2,2938,30
chess_uncertain,p_min,0.2,0,2940,30
chess_uncertain,p_min,0.2,1,2922,30
chess_uncertain,p_min,0.2,2,2898,30
chess_uncertain,p_min,0.3,0,2961,30
chess_uncertain,p_min,0.3,1,2931,30
chess_uncertain,p_min,0.3,2,2928,30
chess_uncertain,p_max,0.7,0,2917,30
chess_uncertain,p_max,0.7,1,2940,30
chess_uncertain,p_max,0.7,2,2923,30
chess_uncertain,p_max,0.8,0,2923,30
chess_uncertain,p_max,0.8,1,2929,30
chess_uncertain,p_max,0.8,2,2971,30
chess_uncertain,p_max,0.9,0,2932,30
chess_uncertain,p_max,0.9,1,2942,30
chess_uncertain,p_max,0.9,2,2918,30
chess_uncertain,p_max,1.0,0,2918,30
chess_uncertain,p_max,1.0,1,2920,30
chess_uncertain,p_max,1.0,2,2931,30
